,LGA,Population,Postcode,Suburb,LAT,LON,distance,geometry,area,density,State,City
0,City of Wanneroo,7695.0,6064,Alexander Heights,-31.8269026,115.8671293,13.990188275335358,"{'type': 'MultiPolygon', 'coordinates': [[[[115.87702389, -31.8247761], [115.87702288, -31.82547914], [115.877022, -31.82608828], [115.87702188, -31.82617845], [115.87702157, -31.82640386], [115.87702144, -31.82649404], [115.87702116, -31.82669407], [115.87702112, -31.82673048], [115.87702109, -31.82674816], [115.87702052, -31.82716465], [115.87701935, -31.82801617], [115.87701761, -31.82915037], [115.87701644, -31.82997529], [115.87701622, -31.83012859], [115.87701465, -31.83119783], [115.87701379, -31.83178997], [115.87701361, -31.8319117], [115.87701324, -31.83215517], [115.8770126, -31.83259367], [115.87701254, -31.83263875], [115.87701042, -31.8338653], [115.87701004, -31.83406867], [115.87700873, -31.83472524], [115.87700837, -31.8349044], [115.87700835, -31.83490597], [115.8770081, -31.83503655], [115.87637546, -31.83498395], [115.87580538, -31.83488337], [115.87524176, -31.83475906], [115.87468594, -31.83461135], [115.87133787, -31.83358428], [115.86798987, -31.83255712], [115.8676833, -31.83247077], [115.86737187, -31.83239824], [115.86705642, -31.83233972], [115.86673781, -31.83229537], [115.86642317, -31.83226356], [115.86610703, -31.83224557], [115.86579022, -31.83224146], [115.8654736, -31.83225125], [115.86516534, -31.83227208], [115.86485869, -31.83230607], [115.86455441, -31.83235313], [115.86425328, -31.83241316], [115.86393916, -31.83248407], [115.86362987, -31.83256901], [115.86332624, -31.83266774], [115.86302913, -31.83277997], [115.86275083, -31.83291187], [115.86248089, -31.83305586], [115.86222001, -31.83321154], [115.86201303, -31.8333358], [115.85988644, -31.83460155], [115.85927497, -31.83496554], [115.85881591, -31.83521379], [115.85833614, -31.83542496], [115.85783634, -31.83559893], [115.85732011, -31.83573448], [115.85685433, -31.83582119], [115.85631908, -31.83588147], [115.85577642, -31.83590111], [115.85480898, -31.83589939], [115.85460474, -31.83589904], [115.85461892, -31.83566288], [115.85459682, -31.83518136], [115.85452563, -31.83457701], [115.85442618, -31.83421948], [115.85419921, -31.83356397], [115.85395161, -31.83305216], [115.85257589, -31.83062903], [115.85239059, -31.83008436], [115.85230158, -31.82966602], [115.8522786, -31.82923262], [115.85243326, -31.82837128], [115.85257706, -31.82796858], [115.85279073, -31.82759163], [115.85347887, -31.82647545], [115.85398171, -31.82559144], [115.85415866, -31.82501917], [115.85425406, -31.82460467], [115.85432618, -31.82416205], [115.854349, -31.8237157], [115.85435817, -31.8229643], [115.8543603, -31.82122838], [115.85435984, -31.82095804], [115.8580667, -31.82096382], [115.85979597, -31.82096619], [115.8608613, -31.82096786], [115.86404834, -31.82103945], [115.86723536, -31.82111098], [115.87003013, -31.82104669], [115.87282489, -31.82098236], [115.87702906, -31.82102357], [115.8772368, -31.82102551], [115.87723458, -31.82126129], [115.87723207, -31.82134705], [115.87722487, -31.82152735], [115.87720058, -31.82190878], [115.8771482, -31.82245527], [115.87713143, -31.8226244], [115.87707961, -31.82314675], [115.87706008, -31.82334362], [115.87702692, -31.82397442], [115.87702558, -31.82432851], [115.87702389, -31.8247761]]]]}",3.042,2529.585798816568,Western Australia,Perth
1,City of Melville,2048.0,6154,Alfred Cove,-32.0318604,115.8181396,9.703639561834846,"{'type': 'MultiPolygon', 'coordinates': [[[[115.81990806, -32.03682936], [115.81977309, -32.03683053], [115.81969717, -32.03683119], [115.81959173, -32.03683211], [115.81958357, -32.03683218], [115.8194863, -32.03683303], [115.81927531, -32.03683486], [115.81906339, -32.0368367], [115.81906185, -32.03663409], [115.81906041, -32.03644527], [115.81912392, -32.03639026], [115.81906001, -32.03639082], [115.81896413, -32.03639165], [115.81886829, -32.03639249], [115.81880415, -32.03639305], [115.81886871, -32.03644713], [115.81887079, -32.03671911], [115.81857809, -32.03672163], [115.81844177, -32.03672281], [115.81842908, -32.03672292], [115.81839034, -32.03672326], [115.81827993, -32.03672421], [115.81798711, -32.03672672], [115.81798502, -32.03645463], [115.81804851, -32.03639963], [115.8179846, -32.03640019], [115.817793, -32.03640185], [115.81772887, -32.03640241], [115.81776262, -32.03643068], [115.81779342, -32.03645649], [115.8177944, -32.036583], [115.81779547, -32.03672324], [115.81753988, -32.03672548], [115.81736955, -32.03672697], [115.81719924, -32.03672847], [115.81694369, -32.0367307], [115.81694162, -32.03646371], [115.81700513, -32.03640871], [115.8169412, -32.03640927], [115.81674966, -32.03641093], [115.81668553, -32.03641149], [115.81675008, -32.03646557], [115.81675212, -32.03673248], [115.81645927, -32.036735], [115.81628899, -32.03673647], [115.81611873, -32.03673795], [115.81582587, -32.03674048], [115.81555883, -32.03660272], [115.81550589, -32.03660318], [115.81526987, -32.03660524], [115.8150266, -32.03660736], [115.81502898, -32.03680691], [115.81482134, -32.03680871], [115.81461362, -32.03681051], [115.8144059, -32.03681231], [115.81419831, -32.03681412], [115.81399072, -32.03681592], [115.81378311, -32.03681772], [115.8137816, -32.03669078], [115.81358695, -32.03665211], [115.81334398, -32.03660387], [115.81334274, -32.03649504], [115.81340602, -32.03644006], [115.81334213, -32.03644062], [115.81312918, -32.03644246], [115.81306527, -32.03644302], [115.81312984, -32.03649692], [115.81313114, -32.03660577], [115.81289758, -32.03665462], [115.81267852, -32.03670044], [115.81268005, -32.03682741], [115.81247098, -32.03682926], [115.81225891, -32.03683113], [115.81204592, -32.036833], [115.81204649, -32.03690534], [115.81183347, -32.03690721], [115.81162047, -32.0369091], [115.81140746, -32.03691097], [115.81119445, -32.03691284], [115.81102412, -32.03691433], [115.81076848, -32.03691658], [115.81076536, -32.0365174], [115.81082887, -32.0364624], [115.81076494, -32.03646294], [115.81055197, -32.03646479], [115.81048805, -32.03646536], [115.81055238, -32.03651923], [115.8105534, -32.03665207], [115.81055471, -32.03682072], [115.81055539, -32.03690984], [115.81055637, -32.03703563], [115.81055658, -32.03706359], [115.81034166, -32.03706552], [115.81018592, -32.0370669], [115.81000764, -32.03706849], [115.8098519, -32.03706989], [115.80969618, -32.03707127], [115.80955569, -32.03707253], [115.80955293, -32.03707254], [115.80940853, -32.03707384], [115.80926838, -32.03707509], [115.80900648, -32.03707742], [115.80872753, -32.03707991], [115.80862103, -32.03708081], [115.80861652, -32.03648207], [115.80861582, -32.03639125], [115.80861504, -32.03630044], [115.80858468, -32.03227946], [115.80858424, -32.03218444], [115.8085839, -32.03209808], [115.80931202, -32.03207169], [115.81021726, -32.03203181], [115.8107625, -32.03194919], [115.81555654, -32.03090324], [115.81555756, -32.03075229], [115.81555982, -32.03037297], [115.81556001, -32.03034429], [115.81556037, -32.03028351], [115.81556225, -32.0299691], [115.81556396, -32.02968264], [115.81556586, -32.02936707], [115.81556928, -32.02879924], [115.8155724, -32.02879589], [115.81557893, -32.02878936], [115.8155857, -32.02878304], [115.81559694, -32.02877338], [115.8156056, -32.02876652], [115.8156101, -32.02876323], [115.8156148, -32.02876021], [115.81562865, -32.02875248], [115.81564693, -32.02874075], [115.8156498, -32.02873932], [115.81565267, -32.02873819], [115.81565564, -32.0287374], [115.81566171, -32.0287362], [115.81567093, -32.02873466], [115.81568675, -32.02873129], [115.81569196, -32.0287299], [115.81569739, -32.02872823], [115.81570281, -32.0287263], [115.81570802, -32.02872418], [115.81571313, -32.02872188], [115.81571814, -32.0287194], [115.815727, -32.02871417], [115.81572933, -32.02871301], [115.81573179, -32.02871213], [115.81573689, -32.02871101], [115.81575695, -32.02870759], [115.81576205, -32.0287061], [115.8157662, -32.02870461], [115.81577004, -32.02870265], [115.81577143, -32.02870149], [115.81577626, -32.02869631], [115.81577775, -32.02869524], [115.81577935, -32.02869436], [115.81578287, -32.02869322], [115.81582779, -32.02868201], [115.81583683, -32.02868011], [115.8158451, -32.02867872], [115.81588011, -32.02867383], [115.81588934, -32.02867283], [115.81589739, -32.02867235], [115.81591369, -32.02867226], [115.81592175, -32.02867196], [115.81592982, -32.02867122], [115.81593628, -32.0286702], [115.81594893, -32.0286676], [115.81595943, -32.02866528], [115.81597228, -32.02866197], [115.81597664, -32.02866129], [115.81600726, -32.02865924], [115.81603153, -32.02865829], [115.8160436, -32.0286583], [115.81605609, -32.02865887], [115.81606847, -32.02865998], [115.81609321, -32.02866337], [115.8161066, -32.02866637], [115.81614225, -32.02866924], [115.8161479, -32.02866739], [115.81615507, -32.02866178], [115.8161739, -32.02865447], [115.8161877, -32.02865207], [115.81619913, -32.02865308], [115.81621398, -32.02865908], [115.81622665, -32.028662], [115.81623367, -32.02865854], [115.81624372, -32.02865178], [115.8162624, -32.02864916], [115.81627859, -32.02865011], [115.81628714, -32.0286521], [115.81630018, -32.02865844], [115.81630479, -32.02865992], [115.81632157, -32.02866677], [115.81632958, -32.02867062], [115.81634878, -32.02867495], [115.81636194, -32.02868139], [115.81636915, -32.02868065], [115.81638879, -32.02867587], [115.81639973, -32.02867435], [115.8164039, -32.02867177], [115.81640628, -32.02866647], [115.8164077, -32.02865602], [115.81641006, -32.02865342], [115.81642655, -32.0286469], [115.81644772, -32.02863979], [115.81646819, -32.02862989], [115.81647747, -32.02862392], [115.81649417, -32.02860974], [115.81651609, -32.02858494], [115.81652367, -32.02857961], [115.81653249, -32.02856977], [115.81655714, -32.02855421], [115.81657429, -32.02854681], [115.81658961, -32.02854181], [115.81661227, -32.02853317], [115.81664369, -32.02852733], [115.8166699, -32.02852423], [115.8166844, -32.02852427], [115.81669202, -32.02852345], [115.81671467, -32.02851716], [115.81675225, -32.02850128], [115.81678573, -32.02849094], [115.8167956, -32.02849013], [115.81680408, -32.0284903], [115.81681999, -32.02848784], [115.8168352, -32.02848248], [115.81684608, -32.02847636], [115.81685548, -32.02846867], [115.81686374, -32.02846172], [115.81688145, -32.02845016], [115.8168951, -32.02844432], [115.81693455, -32.02843063], [115.81694658, -32.02842614], [115.81696326, -32.02842215], [115.81698021, -32.02842132], [115.8169983, -32.02842247], [115.81701545, -32.02842317], [115.81702533, -32.02842038], [115.8170296, -32.02841789], [115.81703551, -32.02841145], [115.81704946, -32.02838993], [115.81705732, -32.0283789], [115.81706471, -32.02837203], [115.81710953, -32.02834612], [115.81713561, -32.02832687], [115.81714032, -32.02832258], [115.81714635, -32.02831506], [115.81715547, -32.02830531], [115.81716532, -32.02828936], [115.81717196, -32.02827497], [115.81717507, -32.02827167], [115.81718841, -32.02826286], [115.81720909, -32.02824502], [115.81722025, -32.02823348], [115.81724929, -32.02821425], [115.81725861, -32.02820677], [115.81726258, -32.02820258], [115.8172718, -32.0281857], [115.81727531, -32.0281767], [115.81728124, -32.02816828], [115.81730288, -32.02814874], [115.81731648, -32.02813695], [115.81733163, -32.02812816], [115.81736154, -32.02811599], [115.8173692, -32.02811335], [115.81737181, -32.02810815], [115.81737569, -32.02808653], [115.81738567, -32.02806777], [115.8173917, -32.02805908], [115.81739826, -32.028053], [115.81741375, -32.02804169], [115.81743419, -32.02802519], [115.81744642, -32.02801313], [115.81746094, -32.02799504], [115.81747517, -32.02798391], [115.8174993, -32.02796861], [115.81753489, -32.02794314], [115.81755898, -32.02792242], [115.81758419, -32.02790445], [115.81762989, -32.02786798], [115.81764567, -32.02785135], [115.81766353, -32.02782941], [115.81768275, -32.02780884], [115.81770432, -32.02778667], [115.81773429, -32.02775393], [115.81775639, -32.02772274], [115.81776528, -32.02771408], [115.81779282, -32.02768953], [115.81780379, -32.02767609], [115.81781776, -32.02765258], [115.81783689, -32.02762985], [115.81786059, -32.02760753], [115.8178848, -32.02758602], [115.8179111, -32.02756596], [115.81793479, -32.02755092], [115.81795532, -32.02753669], [115.81796748, -32.02752923], [115.81801209, -32.02749437], [115.81804261, -32.02747634], [115.81805609, -32.02746501], [115.81808294, -32.02743531], [115.81812079, -32.02739949], [115.81814978, -32.02737676], [115.81816282, -32.02736631], [115.81817643, -32.02735436], [115.81819065, -32.02734393], [115.81820726, -32.02732866], [115.81821956, -32.02731155], [115.81823255, -32.0272893], [115.81823851, -32.02727005], [115.81824286, -32.02726134], [115.8182532, -32.02724845], [115.81827376, -32.02722979], [115.81829684, -32.02721466], [115.81831519, -32.02720294], [115.81832972, -32.02719314], [115.81836162, -32.02717486], [115.81838203, -32.02716097], [115.8184082, -32.02715012], [115.81841632, -32.02714541], [115.81846094, -32.02710045], [115.81847684, -32.02708292], [115.81848336, -32.02707856], [115.81849749, -32.02707446], [115.81850757, -32.02707283], [115.8185163, -32.02706894], [115.8185285, -32.02705959], [115.81854398, -32.02704981], [115.81855621, -32.02703738], [115.81856331, -32.02702861], [115.81857797, -32.02701656], [115.8185915, -32.02701056], [115.81862546, -32.02700384], [115.81866185, -32.02699073], [115.81867123, -32.02698631], [115.81870165, -32.02697523], [115.81872585, -32.02696335], [115.81873585, -32.02695932], [115.81876654, -32.02694426], [115.8187978, -32.02692596], [115.81883375, -32.02689698], [115.81885131, -32.02688171], [115.81887728, -32.02685588], [115.81888627, -32.02684849], [115.81892396, -32.02682484], [115.81894201, -32.02681212], [115.81896133, -32.02679975], [115.81899263, -32.02678696], [115.81903984, -32.02677287], [115.81906909, -32.02676168], [115.81909397, -32.02675371], [115.81911219, -32.02674602], [115.81915403, -32.02672008], [115.81918199, -32.02670185], [115.81920514, -32.02668889], [115.81921509, -32.02668097], [115.81923129, -32.02666469], [115.81923995, -32.02665727], [115.81925019, -32.02665143], [115.81926296, -32.0266473], [115.81930744, -32.02663853], [115.81931872, -32.02663456], [115.81932396, -32.02663144], [115.81933295, -32.02662343], [115.81933941, -32.02661509], [115.81934709, -32.026602], [115.81935419, -32.02659456], [115.8193625, -32.02658977], [115.81936908, -32.0265883], [115.81937923, -32.02658903], [115.81939867, -32.02659381], [115.81940599, -32.02659287], [115.8194125, -32.02658889], [115.81941828, -32.02658353], [115.81942309, -32.02658031], [115.819435, -32.02657556], [115.81945814, -32.02657209], [115.81946762, -32.02656757], [115.81950689, -32.02654376], [115.81951318, -32.0265413], [115.8195691, -32.02653135], [115.81959494, -32.02652321], [115.81962197, -32.02651235], [115.81964947, -32.02650665], [115.81966096, -32.02650225], [115.81967048, -32.02649494], [115.81967982, -32.02648547], [115.81971607, -32.02646478], [115.81975773, -32.02644578], [115.81979973, -32.02643345], [115.81980883, -32.02643325], [115.81982783, -32.02643795], [115.819849, -32.02644662], [115.81985345, -32.02644648], [115.81985987, -32.02644239], [115.81986622, -32.02643352], [115.81987671, -32.0264154], [115.81988206, -32.02641129], [115.81989367, -32.02640681], [115.81992254, -32.02640094], [115.81993101, -32.02640075], [115.81993787, -32.02640343], [115.81994395, -32.02640818], [115.81995189, -32.02641727], [115.81995703, -32.02642021], [115.8199656, -32.02642074], [115.81997028, -32.02641952], [115.81998001, -32.02641194], [115.81998511, -32.02641027], [115.81999159, -32.02640871], [115.81999426, -32.02640675], [115.81999913, -32.02640706], [115.8200041, -32.02640684], [115.82000666, -32.0264064], [115.82000867, -32.02640552], [115.8200106, -32.02640436], [115.82001393, -32.0264007], [115.82001532, -32.02639946], [115.82002377, -32.0263934], [115.82002837, -32.02638957], [115.82003083, -32.02638778], [115.82003573, -32.02638503], [115.82004126, -32.02638274], [115.82004703, -32.02637899], [115.82005578, -32.0263743], [115.82005718, -32.02637332], [115.82005975, -32.02637091], [115.82006265, -32.02636733], [115.82006588, -32.02636266], [115.82007264, -32.02635553], [115.82007965, -32.02634611], [115.82008255, -32.0263428], [115.82009381, -32.02633146], [115.8201162, -32.02631985], [115.82013499, -32.02631587], [115.82014871, -32.02631158], [115.82015752, -32.02631012], [115.82016582, -32.02630651], [115.82018207, -32.02629564], [115.82019926, -32.02628362], [115.82020499, -32.02627437], [115.82020894, -32.02627162], [115.82022298, -32.02626697], [115.82024197, -32.02626453], [115.8202604, -32.02626497], [115.820274, -32.0262605], [115.8202897, -32.02625776], [115.82031334, -32.02624815], [115.82033269, -32.02624183], [115.82036942, -32.02623478], [115.82038508, -32.02623038], [115.82050526, -32.02642269], [115.82143216, -32.0279499], [115.82148301, -32.02803318], [115.82099166, -32.0284023], [115.82131992, -32.0294917], [115.82135243, -32.02963219], [115.82282463, -32.02930316], [115.82295579, -32.0292747], [115.82380359, -32.02908927], [115.82394498, -32.02896125], [115.82429639, -32.02874635], [115.8242966, -32.0288828], [115.82430405, -32.02958654], [115.82425064, -32.02962089], [115.82429086, -32.03342752], [115.82429136, -32.03351838], [115.82277399, -32.0335296], [115.82277492, -32.03362039], [115.82277698, -32.03387415], [115.82277784, -32.033983], [115.82277931, -32.03416444], [115.82278004, -32.03425516], [115.82278076, -32.03434592], [115.82278223, -32.03452736], [115.82278368, -32.03470882], [115.82278514, -32.03489024], [115.82278659, -32.0350715], [115.82278804, -32.03525293], [115.8227895, -32.03543417], [115.82279818, -32.0354341], [115.82279964, -32.03561552], [115.82280108, -32.03579692], [115.82280411, -32.03617653], [115.82280465, -32.03626724], [115.8224767, -32.0362702], [115.82226377, -32.03627211], [115.82226526, -32.03667329], [115.82216056, -32.03667334], [115.82198233, -32.03667489], [115.82185479, -32.03667601], [115.82170978, -32.03667728], [115.82156483, -32.03667855], [115.82156558, -32.03677704], [115.82139796, -32.03677852], [115.82136755, -32.03677879], [115.82113386, -32.03678084], [115.82093575, -32.03678259], [115.82073768, -32.03678432], [115.82053961, -32.03678606], [115.8205399, -32.03682385], [115.82034815, -32.03682551], [115.82032936, -32.03682568], [115.82015628, -32.03682719], [115.82011874, -32.03682753], [115.81996467, -32.03682887], [115.81990806, -32.03682936]]]]}",1.064,1924.812030075188,Western Australia,Perth
2,City of Wanneroo,6269.0,6038,Alkimos,-31.6171563,115.6805868,41.024949426041296,"{'type': 'MultiPolygon', 'coordinates': [[[[115.68205258, -31.59943086], [115.68224595, -31.59942743], [115.68338839, -31.59943239], [115.6857721, -31.59944011], [115.68815256, -31.59944058], [115.68846651, -31.59943809], [115.68923243, -31.59944312], [115.69076123, -31.59945005], [115.69309409, -31.59946179], [115.69320554, -31.59939832], [115.69556767, -31.59940409], [115.69587734, -31.59940485], [115.69785612, -31.59940964], [115.6980671, -31.59941015], [115.70103173, -31.59941728], [115.70187486, -31.59941929], [115.7019785, -31.5996926], [115.70207622, -31.59995028], [115.7021642, -31.60018228], [115.70292209, -31.60218075], [115.70297606, -31.60232301], [115.70329212, -31.60315633], [115.70395777, -31.60491124], [115.70446432, -31.60624664], [115.70467785, -31.60680959], [115.70592154, -31.61008838], [115.70631225, -31.61111837], [115.70663743, -31.61197561], [115.70690351, -31.61267706], [115.70801667, -31.61561141], [115.70871223, -31.61744485], [115.7087119, -31.62069865], [115.7087116, -31.62394148], [115.70849997, -31.62392876], [115.70848267, -31.62413931], [115.70848118, -31.62415749], [115.70847777, -31.62420005], [115.70846274, -31.62438177], [115.7084586, -31.62443215], [115.70845535, -31.62447175], [115.70868802, -31.62448574], [115.70871161, -31.62448582], [115.70871153, -31.62604886], [115.70871147, -31.62691642], [115.70871144, -31.6273047], [115.70871143, -31.62743998], [115.7087114, -31.62781651], [115.70871135, -31.62879275], [115.70871133, -31.62919994], [115.70871139, -31.63069717], [115.70871144, -31.63123853], [115.70852261, -31.63123871], [115.70837057, -31.63123887], [115.70805433, -31.63123915], [115.70773809, -31.63123943], [115.70742186, -31.63123969], [115.7070661, -31.63124], [115.70698708, -31.63124007], [115.70693437, -31.63124011], [115.70685527, -31.63124018], [115.70653906, -31.63124046], [115.70653635, -31.63124046], [115.70635776, -31.63124063], [115.70622013, -31.63124075], [115.70615749, -31.63124082], [115.70595721, -31.631241], [115.70590391, -31.63124106], [115.70577273, -31.63124119], [115.70558828, -31.63124137], [115.70558768, -31.63124137], [115.7054038, -31.63124156], [115.70527147, -31.63124169], [115.70495525, -31.63124201], [115.7049453, -31.63124202], [115.70460796, -31.63124236], [115.70439712, -31.63124257], [115.70407034, -31.6312429], [115.70405985, -31.63124292], [115.70375411, -31.63124323], [115.70365918, -31.63124331], [115.70347471, -31.63124351], [115.70343789, -31.63124353], [115.70329025, -31.63124369], [115.70312166, -31.63124385], [115.70310579, -31.63124387], [115.70292134, -31.63124405], [115.70280546, -31.63124416], [115.70275269, -31.63124422], [115.70256823, -31.6312444], [115.70248924, -31.63124448], [115.70238376, -31.63124459], [115.70219929, -31.63124478], [115.70217303, -31.6312448], [115.70201483, -31.63124496], [115.70185681, -31.63124511], [115.70183036, -31.63124514], [115.7016459, -31.63124532], [115.70154059, -31.63124543], [115.70146143, -31.63124552], [115.70127696, -31.6312457], [115.70122435, -31.63124574], [115.70109249, -31.63124588], [115.70100949, -31.63124596], [115.70090813, -31.63124602], [115.70072359, -31.63124613], [115.70059195, -31.63124622], [115.70053916, -31.63124624], [115.70035473, -31.63124635], [115.70033088, -31.63124637], [115.70017031, -31.63124652], [115.70002272, -31.63124666], [115.69950283, -31.63124718], [115.69934471, -31.63124733], [115.69918661, -31.63124749], [115.6990285, -31.63124763], [115.69880553, -31.63124784], [115.69863075, -31.631248], [115.69819389, -31.63124839], [115.69799726, -31.63124858], [115.69593249, -31.63125034], [115.69520422, -31.63125096], [115.69280418, -31.63125299], [115.69275043, -31.63125303], [115.69269773, -31.63125307], [115.69247183, -31.63125327], [115.69218602, -31.63125351], [115.69217139, -31.63125352], [115.69199219, -31.63125366], [115.6919752, -31.63125368], [115.69181302, -31.6312538], [115.69176441, -31.63125384], [115.69174918, -31.63125386], [115.69163382, -31.63125383], [115.69155359, -31.63125381], [115.69145463, -31.6312538], [115.69134245, -31.63125377], [115.69127542, -31.63125376], [115.69113131, -31.63125373], [115.69109622, -31.63125373], [115.69091996, -31.63125369], [115.69091701, -31.63125369], [115.6907589, -31.63125366], [115.6907084, -31.63125365], [115.69060079, -31.63125362], [115.69049684, -31.63125361], [115.69044268, -31.63125359], [115.69028456, -31.63125356], [115.69010535, -31.63125352], [115.68998098, -31.63125349], [115.68969277, -31.63125344], [115.68980626, -31.63087216], [115.68951796, -31.6308724], [115.68485266, -31.6308761], [115.68018738, -31.63087965], [115.68006201, -31.63071], [115.67933054, -31.63008138], [115.678657, -31.63074189], [115.67860105, -31.63078989], [115.67848622, -31.63085957], [115.67834061, -31.63089894], [115.67385629, -31.63088419], [115.67386287, -31.63089733], [115.67392339, -31.6311155], [115.67391872, -31.63124756], [115.67391904, -31.63124947], [115.67171828, -31.63124881], [115.66944033, -31.63124806], [115.66918782, -31.63124796], [115.66834321, -31.6312476], [115.6676275, -31.63005807], [115.6671475, -31.62911861], [115.66703778, -31.62890861], [115.6669575, -31.62874806], [115.6666975, -31.62829833], [115.66654805, -31.62790833], [115.66630779, -31.62746832], [115.66613777, -31.62709833], [115.66560777, -31.62608861], [115.66494806, -31.62482833], [115.66475778, -31.62448805], [115.6644675, -31.62409832], [115.66425778, -31.62365861], [115.66404807, -31.62338861], [115.66393778, -31.62315834], [115.66353778, -31.6226486], [115.6634275, -31.62257834], [115.66294777, -31.62211834], [115.66281779, -31.6217786], [115.66275751, -31.62160861], [115.66264751, -31.62125833], [115.6627375, -31.62052833], [115.6627375, -31.62045806], [115.6630075, -31.61951806], [115.66303722, -31.61915862], [115.66306722, -31.61789833], [115.66306722, -31.61738807], [115.66304751, -31.61690861], [115.66278778, -31.61593833], [115.66249722, -31.61540806], [115.66180722, -31.61418861], [115.66114722, -31.61297889], [115.66095723, -31.61260889], [115.66031751, -31.61171862], [115.66026749, -31.61164889], [115.65973751, -31.61095861], [115.6591975, -31.61053833], [115.65908722, -31.61044832], [115.65823721, -31.6100389], [115.6577275, -31.6096386], [115.65724721, -31.60922888], [115.6565875, -31.60851861], [115.6561075, -31.60787889], [115.6557575, -31.60715889], [115.65546722, -31.60640889], [115.65538749, -31.60603888], [115.65536722, -31.6057389], [115.6553075, -31.60546833], [115.65518722, -31.60523861], [115.65492722, -31.60498888], [115.6547175, -31.60448861], [115.65453722, -31.60420861], [115.65445721, -31.60400861], [115.65433693, -31.60383861], [115.65429694, -31.60377889], [115.65405722, -31.60354861], [115.65374722, -31.60334862], [115.65351723, -31.60326861], [115.6534375, -31.6032486], [115.6529875, -31.60292889], [115.6524575, -31.60225888], [115.65239722, -31.60216889], [115.65181722, -31.60081861], [115.65144722, -31.59986834], [115.65131443, -31.59930722], [115.65130919, -31.5992862], [115.65260909, -31.59928941], [115.65304099, -31.59929049], [115.6545654, -31.599295], [115.65457948, -31.59929504], [115.65459138, -31.59929507], [115.65461767, -31.59929515], [115.65454095, -31.59911337], [115.65451544, -31.59903796], [115.65455678, -31.59893387], [115.65505549, -31.59877775], [115.6551642, -31.59878797], [115.65530548, -31.59893497], [115.65539016, -31.59895626], [115.65550414, -31.598962], [115.65568683, -31.59892516], [115.65572811, -31.59895175], [115.65579367, -31.59896034], [115.65984974, -31.59897227], [115.66390583, -31.59898405], [115.6679619, -31.59899571], [115.66996478, -31.5989841], [115.67187906, -31.5989841], [115.6732329, -31.59899236], [115.67484907, -31.59898868], [115.67600755, -31.59899236], [115.67654208, -31.5990829], [115.67726528, -31.5990813], [115.67926727, -31.59909404], [115.67927821, -31.59830209], [115.67972906, -31.59856079], [115.68023658, -31.59885101], [115.68050822, -31.59902685], [115.68077175, -31.59920864], [115.68099322, -31.59938953], [115.68123157, -31.59960253], [115.68135667, -31.59972997], [115.68146318, -31.59964817], [115.68159842, -31.59955858], [115.68172014, -31.5995011], [115.6818689, -31.59945208], [115.68205258, -31.59943086]]]]}",14.756,424.8441312008674,Western Australia,Perth
3,City of Kwinana,234.0,6167,Anketell,-32.2179086,115.8593099,29.513589391395794,"{'type': 'MultiPolygon', 'coordinates': [[[[115.88419659, -32.21074879], [115.88420246, -32.21157505], [115.8842032, -32.21167904], [115.8842032, -32.21167914], [115.88420757, -32.21229654], [115.88420979, -32.21260998], [115.88421217, -32.21294583], [115.88421638, -32.21354017], [115.88421638, -32.21354051], [115.88422225, -32.2143706], [115.88422296, -32.21447124], [115.88422653, -32.21497483], [115.88422956, -32.21540164], [115.88422956, -32.21540189], [115.88423614, -32.21633244], [115.88423814, -32.21661614], [115.88424272, -32.21726281], [115.88424272, -32.21726307], [115.88424931, -32.21819362], [115.88424931, -32.21819371], [115.88425469, -32.21895283], [115.88425591, -32.21912421], [115.88428023, -32.22254463], [115.88428158, -32.22272125], [115.88374946, -32.22275177], [115.88316133, -32.22282123], [115.88184181, -32.22303871], [115.87974717, -32.22338395], [115.87765187, -32.22372924], [115.87718444, -32.22380627], [115.87637499, -32.22398766], [115.87559695, -32.22425092], [115.87487069, -32.22460579], [115.87420107, -32.22503327], [115.87121595, -32.22720909], [115.87064221, -32.22759871], [115.87044439, -32.22768816], [115.8660627, -32.22943036], [115.86517143, -32.22972955], [115.86486634, -32.22982873], [115.86436059, -32.22988315], [115.86014384, -32.22978091], [115.8559271, -32.22967852], [115.85525177, -32.22969436], [115.85416063, -32.22983542], [115.85316991, -32.2301123], [115.85010553, -32.23116417], [115.84969504, -32.22845936], [115.84928457, -32.22575455], [115.84861019, -32.22156173], [115.84850756, -32.22043288], [115.84840494, -32.21879093], [115.84841961, -32.21735423], [115.84880078, -32.21497928], [115.84905, -32.21380647], [115.8493432, -32.21276559], [115.84972436, -32.21160742], [115.85032563, -32.210039], [115.85363743, -32.21054184], [115.85694927, -32.2110446], [115.86050962, -32.20942618], [115.86406984, -32.20780765], [115.86420199, -32.2079425], [115.86438149, -32.20808104], [115.86459897, -32.20821435], [115.86484103, -32.2082775], [115.86731586, -32.20827884], [115.86926484, -32.20887254], [115.87423751, -32.20884696], [115.87921017, -32.20882119], [115.88418282, -32.20879522], [115.88418336, -32.2088859], [115.88418998, -32.20981795], [115.88418998, -32.20981808], [115.88419659, -32.2107486], [115.88419659, -32.21074879]]]]}",6.441,36.32976245924546,Western Australia,Perth
